dset Тип Время,мкс Время,чч:мм:сс +мкс Номерканалa Амплитуда,дБ Энергия*1e-24,Дж Энергия,дБ Длительность,мкс Времянарастания,мкс Числовыбросов Выбросы/Длительн,кГц
0 le 11:57:24.310218 11:57:24 310218 6 89.6 857657258072 119.3 32000 34 2177 68
1 ht 11:57:24.310275 11:57:24 310275 15 90.1 1219749625749 120.9 32000 65 2508 78
2 ht 11:57:24.310313 11:57:24 310313 2 78.0 718221719621 118.6 32000 943 2606 81
3 ht 11:57:24.310316 11:57:24 310316 10 84.4 809455862069 119.1 32000 104 2326 72
4 ev 11:57:24.310338 11:57:24 310338 1 78.3 748870981956 118.7 32000 717 2320 72
5 ev 11:57:24.310357 11:57:24 310357 9 78.4 675818328640 118.3 32000 651 2404 75
6 ev 11:57:24.310370 11:57:24 310370 7 80.8 720913872220 118.6 32000 123 2372 74
7 ev 11:57:24.310410 11:57:24 310410 3 80.0 619123800737 117.9 32000 150 2118 66
8 ev 11:57:24.310412 11:57:24 310412 11 81.6 691496125575 118.4 32000 160 2359 73
9 ev 11:57:24.310420 11:57:24 310420 13 82.6 707991975220 118.5 32000 162 2501 78
10 ev 11:57:24.310420 11:57:24 310420 14 84.7 1047924608871 120.2 32000 174 2352 73
11 ev 11:57:24.310428 11:57:24 310428 8 83.1 1159277621750 120.6 32000 154 2635 82
12 ev 11:57:24.310461 11:57:24 310461 4 83.7 1122877947748 120.5 32000 178 2514 78
13 ev 11:57:24.310472 11:57:24 310472 12 80.3 676922687756 118.3 32000 800 2380 74
14 le 11:57:24.342269 11:57:24 342269 6 42.6 739376610 88.7 6675 1088 109 16
15 ht 11:57:24.342330 11:57:24 342330 15 41.8 501356784 87.0 4361 148 78 17
16 ht 11:57:24.342370 11:57:24 342370 1 44.4 698330436 88.4 6799 637 93 13
17 ht 11:57:24.342376 11:57:24 342376 2 40.1 270340703 84.3 3101 1638 34 10
18 ev 11:57:24.342403 11:57:24 342403 7 41.1 453883210 86.6 4600 1154 64 13
19 ev 11:57:24.342427 11:57:24 342427 9 41.3 519226797 87.2 5109 1144 64 12
20 ev 11:57:24.342441 11:57:24 342441 10 42.2 457608453 86.6 4314 1822 57 13
21 ev 11:57:24.342444 11:57:24 342444 11 45.0 649834617 88.1 5666 282 83 14
22 ev 11:57:24.342452 11:57:24 342452 14 43.2 706521872 88.5 6531 207 91 13
23 ev 11:57:24.342466 11:57:24 342466 13 43.0 502632344 87.0 5352 1005 69 12
24 ev 11:57:24.342471 11:57:24 342471 3 42.8 648810126 88.1 6059 2709 88 14
25 ev 11:57:24.342482 11:57:24 342482 8 42.4 635001394 88.0 6404 3220 88 13
26 ev 11:57:24.342508 11:57:24 342508 4 42.4 402839826 86.1 3653 2156 54 14
27 ev 11:57:24.342513 11:57:24 342513 12 42.0 455078761 86.6 5293 1950 59 11
28 ev 11:57:24.346494 11:57:24 346494 2 38.7 71777724 78.6 841 187 4 4
29 ev 11:57:24.346790 11:57:24 346790 4 38.7 40259559 76.0 115 113 5 43
30 ev 11:57:24.347287 11:57:24 347287 10 38.7 70328202 78.5 634 3 7 11
31 ev 11:57:24.347421 11:57:24 347421 15 39.8 81284398 79.1 1004 746 7 6
32 ev 11:57:24.347681 11:57:24 347681 7 36.6 32827133 75.2 125 124 3 24
33 ev 11:57:24.348004 11:57:24 348004 4 38.0 100753189 80.0 1484 2 6 4
34 ev 11:57:24.348024 11:57:24 348024 2 36.2 18243202 72.6 1 1 1 1000
35 ev 11:57:24.348185 11:57:24 348185 9 39.5 62154358 77.9 660 2 6 9
36 ev 11:57:24.348382 11:57:24 348382 12 38.3 70962286 78.5 1198 297 5 4
37 ev 11:57:24.348538 11:57:24 348538 7 38.0 34794047 75.4 136 135 2 14
38 ev 11:57:24.348592 11:57:24 348592 13 37.7 48914580 76.9 474 473 3 6
39 ev 11:57:24.348614 11:57:24 348614 2 38.0 30712178 74.9 93 93 2 21
40 ev 11:57:24.348815 11:57:24 348815 11 38.0 49138512 76.9 477 2 3 6
41 ev 11:57:24.349112 11:57:24 349112 15 37.7 37876597 75.8 291 3 2 6
42 ev 11:57:24.349442 11:57:24 349442 3 37.7 44845157 76.5 340 90 3 8
43 ev 11:57:24.349496 11:57:24 349496 10 36.9 22006531 73.4 3 1 2 666
44 ev 11:57:24.349549 11:57:24 349549 8 36.2 19434168 72.9 1 1 1 1000
45 ev 11:57:24.349556 11:57:24 349556 14 37.7 40095329 76.0 284 283 3 10
46 ev 11:57:24.349580 11:57:24 349580 6 38.3 38629338 75.9 71 2 2 28
47 ev 11:57:24.349589 11:57:24 349589 9 37.7 41769438 76.2 427 425 6 14
48 ev 11:57:24.349718 11:57:24 349718 13 37.3 34870687 75.4 293 1 5 17
49 ev 11:57:24.349835 11:57:24 349835 11 39.5 26736614 74.3 4 1 1 250
50 ev 11:57:24.350007 11:57:24 350007 2 36.6 16338236 72.1 1 1 1 1000
51 ev 11:57:24.350050 11:57:24 350050 7 36.9 18705102 72.7 1 1 1 1000
52 ev 11:57:24.350075 11:57:24 350075 1 36.9 47612163 76.8 338 1 4 11
53 ev 11:57:24.350151 11:57:24 350151 8 38.3 86979643 79.4 1512 1015 6 3
54 ev 11:57:24.350228 11:57:24 350228 15 38.0 15318798 71.9 3 1 1 333
55 ev 11:57:24.350267 11:57:24 350267 6 37.7 38377426 75.8 313 313 4 12
56 ev 11:57:24.350650 11:57:24 350650 12 36.2 17619599 72.5 1 1 1 1000
57 ev 11:57:24.350683 11:57:24 350683 4 36.9 19149036 72.8 1 1 1 1000
58 ev 11:57:24.350774 11:57:24 350774 11 36.6 20336353 73.1 2 1 1 500
59 ev 11:57:24.350805 11:57:24 350805 7 36.9 19664557 72.9 1 1 1 1000
60 ev 11:57:24.350944 11:57:24 350944 14 36.2 30495545 74.8 278 1 2 7
61 ev 11:57:24.350969 11:57:24 350969 2 37.7 14704085 71.7 3 2 2 666
62 ev 11:57:24.350980 11:57:24 350980 3 38.7 41278342 76.2 173 170 3 17
63 ev 11:57:24.351034 11:57:24 351034 1 37.3 37417878 75.7 373 348 3 8
64 ev 11:57:24.351077 11:57:24 351077 9 36.9 13909421 71.4 2 1 1 500
65 ev 11:57:24.351143 11:57:24 351143 6 36.6 40326841 76.1 517 1 4 7
66 ev 11:57:24.351366 11:57:24 351366 15 36.2 14955903 71.7 1 1 1 1000
67 ev 11:57:24.351649 11:57:24 351649 9 36.9 14661975 71.7 2 1 1 500
68 ev 11:57:24.351970 11:57:24 351970 15 36.2 17610896 72.5 1 1 1 1000
69 ev 11:57:24.352108 11:57:24 352108 3 36.2 16806126 72.3 1 1 1 1000
70 ev 11:57:24.352227 11:57:24 352227 1 36.2 27422447 74.4 256 1 2 7
71 ev 11:57:24.352512 11:57:24 352512 13 38.0 15575108 71.9 4 1 1 250
72 ev 11:57:24.352814 11:57:24 352814 7 36.9 15656240 71.9 3 1 1 333
73 ev 11:57:24.353161 11:57:24 353161 10 36.6 12513239 71.0 2 2 1 500
74 ev 11:57:24.353456 11:57:24 353456 13 36.2 14818999 71.7 1 1 1 1000
75 ev 11:57:24.354529 11:57:24 354529 3 36.2 15226343 71.8 1 1 1 1000
76 ev 11:57:24.354927 11:57:24 354927 11 36.2 11166091 70.5 1 1 1 1000
77 le 11:57:27.937796 11:57:27 937796 6 87.0 609999022304 117.9 32000 34 2108 65
78 ht 11:57:27.937848 11:57:27 937848 15 88.7 962817022758 119.8 32000 69 2467 77
79 ht 11:57:27.937894 11:57:27 937894 10 83.3 642437981551 118.1 32000 102 2259 70
80 ht 11:57:27.937896 11:57:27 937896 2 78.2 529326694194 117.2 32000 774 2561 80
81 ev 11:57:27.937921 11:57:27 937921 1 75.0 522766850494 117.2 32000 1016 2278 71
82 ev 11:57:27.937948 11:57:27 937948 7 78.3 554939965738 117.4 32000 124 2296 71
83 ev 11:57:27.937963 11:57:27 937963 9 76.0 474032831923 116.8 32000 652 2296 71
84 ev 11:57:27.937987 11:57:27 937987 3 78.1 426648005702 116.3 32000 153 2051 64
85 ev 11:57:27.937989 11:57:27 937989 11 80.2 521111518741 117.2 32000 159 2281 71
86 ev 11:57:27.937997 11:57:27 937997 13 78.6 492897268872 116.9 32000 165 2382 74
87 ev 11:57:27.938000 11:57:27 938000 8 82.0 927829374653 119.7 32000 164 2531 79
88 ev 11:57:27.938000 11:57:27 938000 14 83.5 793608349326 119.0 32000 171 2288 71
89 ev 11:57:27.938040 11:57:27 938040 4 82.9 833176343220 119.2 32000 177 2447 76
90 ev 11:57:27.938100 11:57:27 938100 12 75.9 497207675876 117.0 32000 320 2291 71
91 le 11:57:27.969871 11:57:27 969871 6 41.3 551485818 87.4 5737 512 75 13
92 ht 11:57:27.969927 11:57:27 969927 15 40.8 312362614 84.9 3517 76 36 10
93 ht 11:57:27.969953 11:57:27 969953 2 37.7 54558639 77.4 595 596 4 6
94 ht 11:57:27.969967 11:57:27 969967 1 42.0 522342099 87.2 5527 256 74 13
95 ev 11:57:27.970005 11:57:27 970005 9 40.3 314935352 85.0 3851 854 36 9
96 ev 11:57:27.970020 11:57:27 970020 10 40.8 355738318 85.5 4314 1080 39 9
97 ev 11:57:27.970032 11:57:27 970032 8 40.3 404306379 86.1 4790 1 53 11
98 ev 11:57:27.970049 11:57:27 970049 3 42.4 506435351 87.0 6057 2709 67 11
99 ev 11:57:27.970055 11:57:27 970055 7 39.5 312843231 85.0 4113 287 34 8
100 ev 11:57:27.970057 11:57:27 970057 13 40.3 265718234 84.2 3459 992 30 8
101 ev 11:57:27.970060 11:57:27 970060 14 41.5 440077192 86.4 4911 559 52 10
102 ev 11:57:27.970120 11:57:27 970120 11 41.5 355613298 85.5 3819 2050 38 9
103 ev 11:57:27.970161 11:57:27 970161 4 40.6 251779617 84.0 2666 2082 30 11
104 ev 11:57:27.970263 11:57:27 970263 12 41.3 315048488 85.0 4483 357 34 7
105 ev 11:57:27.971240 11:57:27 971240 2 39.0 107734008 80.3 1527 351 13 8
106 ev 11:57:27.973419 11:57:27 973419 4 37.3 39433827 76.0 320 318 2 6
107 ev 11:57:27.974128 11:57:27 974128 13 38.0 59452670 77.7 816 813 6 7
108 ev 11:57:27.974132 11:57:27 974132 2 36.2 20885561 73.2 1 1 1 1000
109 ev 11:57:27.974269 11:57:27 974269 15 38.3 55137886 77.4 940 939 3 3
110 ev 11:57:27.974424 11:57:27 974424 4 38.7 123538570 80.9 2439 56 13 5
111 ev 11:57:27.974542 11:57:27 974542 11 38.3 52845133 77.2 441 1 7 15
112 ev 11:57:27.974552 11:57:27 974552 9 38.0 45117282 76.5 317 315 3 9
113 ev 11:57:27.974730 11:57:27 974730 2 36.9 22676643 73.6 2 2 1 500
114 ev 11:57:27.975099 11:57:27 975099 7 36.6 44625062 76.5 558 1 3 5
115 ev 11:57:27.975380 11:57:27 975380 12 38.0 55402992 77.4 880 879 3 3
116 ev 11:57:27.975386 11:57:27 975386 8 38.3 49952546 77.0 435 203 4 9
117 ev 11:57:27.975743 11:57:27 975743 15 37.7 26420321 74.2 3 1 1 333
118 ev 11:57:27.975804 11:57:27 975804 14 38.7 81949549 79.1 1086 755 6 5
119 ev 11:57:27.975845 11:57:27 975845 13 36.6 16879210 72.3 1 1 1 1000
120 ev 11:57:27.976251 11:57:27 976251 7 36.6 16911775 72.3 1 1 1 1000
121 ev 11:57:27.976369 11:57:27 976369 6 36.9 110979758 80.5 1596 792 9 5
122 ev 11:57:27.976459 11:57:27 976459 8 36.6 26466548 74.2 131 132 2 15
123 ev 11:57:27.976661 11:57:27 976661 3 38.0 44358833 76.5 699 698 3 4
124 ev 11:57:27.976917 11:57:27 976917 1 37.3 27514808 74.4 206 1 2 9
125 ev 11:57:27.976945 11:57:27 976945 13 36.2 21710825 73.4 1 1 1 1000
126 ev 11:57:27.977126 11:57:27 977126 8 36.2 13626067 71.3 1 1 1 1000
