Дата, дд.мм.гг	 Время, чч:мм:сс	               + мкс	  Время со старта, с	        Номер каналa	Тип информации  (АЭ)	      Амплитуда, АЦП	       Амплитуда, дБ	      Амплитуда, мкВ	  Ампл./Выбросы, мкВ	   Энергия*1e-24, Дж	         Энергия, дБ	      Энергия, MARSE	   Длительность, мкс	Время нарастания,мкс	      Число выбросов	Выбросы/Длительн,кГц	    Аппаратные флаги
06.10.23	            11:57:24	              310275	                  11	                  15	                (АЭ)	               10474	                90.1	             32040.5	                12.8	       1219749625749	               120.9	        1104422756.8	               32000	                  65	                2508	                  78	                 -D-
06.10.23	            11:57:24	              342330	                  11	                  15	                (АЭ)	                  40	                41.8	               122.4	                 1.6	           501356784	                87.0	          22390997.8	                4361	                 148	                  78	                  17	                 ---
06.10.23	            11:57:24	              347421	                  11	                  15	                (АЭ)	                  32	                39.8	                97.9	                14.0	            81284398	                79.1	           9015786.0	                1004	                 746	                   7	                   6	                 ---
06.10.23	            11:57:24	              349112	                  11	                  15	                (АЭ)	                  25	                37.7	                76.5	                38.2	            37876597	                75.8	           6154396.6	                 291	                   3	                   2	                   6	                 ---
06.10.23	            11:57:24	              350228	                  11	                  15	                (АЭ)	                  26	                38.0	                79.5	                79.5	            15318798	                71.9	           3913923.7	                   3	                   1	                   1	                 333	                 ---
06.10.23	            11:57:24	              351366	                  11	                  15	                (АЭ)	                  21	                36.2	                64.2	                64.2	            14955903	                71.7	           3867286.3	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              351970	                  11	                  15	                (АЭ)	                  21	                36.2	                64.2	                64.2	            17610896	                72.5	           4196533.8	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              310218	                  11	                  06	                (АЭ)	                9894	                89.6	             30266.2	                13.9	        857657258072	               119.3	         926097866.4	               32000	                  34	                2177	                  68	                 -D-
06.10.23	            11:57:24	              342269	                  11	                  06	                (АЭ)	                  44	                42.6	               134.6	                 1.2	           739376610	                88.7	          27191480.5	                6675	                1088	                 109	                  16	                 ---
06.10.23	            11:57:24	              349580	                  11	                  06	                (АЭ)	                  27	                38.3	                82.6	                41.3	            38629338	                75.9	           6215250.4	                  71	                   2	                   2	                  28	                 ---
06.10.23	            11:57:24	              350267	                  11	                  06	                (АЭ)	                  25	                37.7	                76.5	                19.1	            38377426	                75.8	           6194951.7	                 313	                 313	                   4	                  12	                 ---
06.10.23	            11:57:24	              351143	                  11	                  06	                (АЭ)	                  22	                36.6	                67.3	                16.8	            40326841	                76.1	           6350341.8	                 517	                   1	                   4	                   7	                 ---
06.10.23	            11:57:24	              310370	                  11	                  07	                (АЭ)	                3601	                80.8	             11015.6	                 4.6	        720913872220	               118.6	         849066471.0	               32000	                 123	                2372	                  74	                 -D-
06.10.23	            11:57:24	              310420	                  11	                  14	                (АЭ)	                5620	                84.7	             17191.9	                 7.3	       1047924608871	               120.2	        1023681888.5	               32000	                 174	                2352	                  73	                 -D-
