LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
6 15 2 10 0.057 0.095 0.098 8.25 14;
6 15 1 2 0.061 0.101 0.107 6.0 14;
6 15 10 2 0.052 0.098 0.1 8.25 14;
6 15 2 1 0.056 0.082 0.096 6.0 14;
6 15 2 10 0.059 0.094 0.1 8.25 14;
6 15 2 1 0.07 0.106 0.119 6.0 14;
6 15 10 7 0.057 0.145 0.248 9.5 14;
6 15 10 2 0.057 0.103 0.106 8.25 14;
6 15 10 2 0.058 0.113 0.132 8.25 14;
6 10 12 9 0.001 0.001 0.001 9.25 14;
6 7 10 11 0.112 0.157 0.212 8.5 14;
6 7 10 2 0.074 0.104 0.104 6.25 14;
6 2 10 7 0.095 0.105 0.112 6.25 14;
6 7 2 10 0.078 0.108 0.109 6.25 14;
6 11 15 3 0.143 0.145 0.149 8.75 14;
6 7 2 10 0.078 0.102 0.11 6.25 14;
6 7 2 10 0.079 0.096 0.103 6.25 14;
6 7 10 2 0.067 0.104 0.104 6.25 14;
6 2 10 11 0.096 0.124 0.135 7.25 14;
7 4 2 8 0.0 0.0 0.0 5.25 14;
6 10 15 7 0.009 0.098 0.1 9.5 14;
6 10 15 14 0.001 0.095 0.115 11.25 14;
10 6 11 14 0.134 0.207 0.209 10.25 14;
6 10 15 9 0.03 0.153 0.158 10.0 14;
6 10 15 7 0.004 0.092 0.092 9.5 14;
10 11 7 15 0.065 0.081 0.087 10.75 14;
10 6 14 9 0.153 0.201 0.218 9.75 14;
10 6 9 15 0.002 0.096 0.1 10.0 14;
6 10 14 15 0.047 0.113 0.148 11.25 14;
10 6 14 9 0.078 0.199 0.211 9.75 14;
6 10 15 9 0.005 0.089 0.092 10.0 14;
6 10 11 9 0.069 0.091 0.094 9.0 14;
10 6 9 14 0.148 0.21 0.212 9.75 14;
15 6 8 2 0.138 0.158 0.189 7.75 14;
15 6 8 1 0.167 0.18 0.209 7.5 14;
2 6 1 13 0.058 0.062 0.092 5.5 14;
2 1 6 13 0.057 0.065 0.097 5.5 14;
2 1 13 4 0.109 0.155 0.362 5.0 14;
2 6 1 13 0.064 0.067 0.096 5.5 14;
2 1 6 13 0.062 0.063 0.097 5.5 14;
1 15 2 4 0.114 0.212 0.241 5.5 14;
1 15 2 4 0.107 0.202 0.246 5.5 14;
1 15 8 2 0.222 0.358 0.36 6.5 14;
7 11 3 8 0.157 0.161 0.173 7.25 14;
12 11 11 13 0.039 0.787 0.788 11.75 14;
7 11 8 3 0.15 0.161 0.162 7.25 14;
7 11 8 6 0.053 0.169 0.172 8.0 14;
11 14 12 7 0.224 0.253 0.274 11.0 14;
7 3 11 8 0.15 0.168 0.174 7.25 14;
7 3 8 6 0.154 0.16 0.163 6.0 14;
