LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
15 13 9 1 0.0 0.0 0.0 45.2 1
15 6 2 10 0.000114 2.2e-05 3e-06 86.15 5
15 6 1 2 0.000134 2.1e-05 9e-06 42.9 9
15 6 10 2 0.000112 2.5e-05 3e-06 86.525 13
15 6 10 2 0.00011 3.1e-05 2.1e-05 43.975 17
15 6 2 10 0.000114 2.2e-05 4e-06 88.175 21
15 2 6 10 0.000137 1e-06 5e-06 44.85 25
15 6 10 8 0.000137 5.9e-05 4.1e-05 45.975 29
15 6 2 10 0.000106 2.5e-05 6e-06 84.55 33
15 6 2 1 0.00013 1.8e-05 1.5e-05 43.275 37
6 15 2 10 8.1e-05 2.5e-05 3e-06 84.3 41
6 15 10 2 7.4e-05 3e-05 1.6e-05 44.425 45
6 15 2 10 7.4e-05 3.7e-05 0.0 85.175 49
6 15 10 11 4.8e-05 6e-05 3.3e-05 43.925 53
6 15 2 10 7.3e-05 2.9e-05 9e-06 82.675 57
6 15 10 11 9.7e-05 2.8e-05 3.7e-05 43.2 61
6 15 10 2 9.6e-05 2.9e-05 1e-06 84.325 65
6 15 2 10 0.000115 2.1e-05 7e-06 43.7 69
10 6 15 11 2.4e-05 1e-06 7e-05 83.0 73
6 14 11 1 7.1e-05 4.1e-05 1.6e-05 40.625 77
10 15 11 14 0.0001 2.4e-05 2e-06 62.875 81
10 15 6 9 2.5e-05 2e-06 6.2e-05 85.6 85
10 15 6 11 2.5e-05 8e-06 5.3e-05 44.9 89
10 15 6 9 2.9e-05 3e-06 6.4e-05 87.9 93
10 15 6 9 0.000162 8e-06 2e-05 46.125 97
10 6 15 9 0.00035 5e-05 0.0006 44.275 101
10 15 6 9 2.3e-05 0.0 6.5e-05 80.375 105
10 6 14 2 5.3e-05 6.4e-05 1.1e-05 41.4 109
12 6 2 8 0.0 0.0 0.0 47.6 113
15 8 1 10 6e-06 8.5e-05 3.6e-05 84.675 117
15 8 1 10 1.4e-05 8.2e-05 3.1e-05 43.025 121
1 8 2 4 0.00018 3e-06 4.7e-05 49.525 125
15 8 1 10 4e-06 7.6e-05 4.7e-05 86.6 129
15 8 1 2 1e-05 8e-05 5.2e-05 45.15 133
15 8 1 10 6e-06 6.8e-05 5.4e-05 85.85 137
15 8 1 10 7.9e-05 2.6e-05 3.1e-05 44.025 141
15 8 1 10 4e-06 9.1e-05 3.2e-05 85.4 145
15 8 1 9 1.4e-05 8.2e-05 4.2e-05 43.675 149
2 1 15 13 5.6e-05 1e-06 3.9e-05 86.5 153
1 6 2 13 4.1e-05 2.2e-05 0.0 42.0 157
2 1 15 13 5.6e-05 0.0 4e-05 87.525 161
2 1 6 15 3.9e-05 3.9e-05 4e-06 43.25 165
2 15 1 13 5.1e-05 3e-06 4.1e-05 86.825 169
1 15 3 13 4e-06 5.7e-05 1.5e-05 41.65 173
15 10 8 6 3.8e-05 8.9e-05 1e-05 66.2 177
2 1 15 13 6e-05 0.0 3.6e-05 86.85 181
1 2 15 6 8e-06 5e-06 2.6e-05 42.3 185
8 6 4 1 0.0 1e-06 0.0 46.3 189
1 15 8 4 8.9e-05 2e-06 3.2e-05 67.05 193
9 10 12 7 0.000233 0.000114 9.1e-05 41.425 197
1 8 15 2 8.3e-05 3e-06 3.1e-05 67.675 201
1 8 15 4 8.8e-05 7e-06 2.9e-05 66.55 205
1 15 8 4 9.3e-05 2.3e-05 1.5e-05 68.325 209
