LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
15 9 1 7 0.0 0.0 0.0 43.8 1
15 6 2 10 0.114 0.136 0.139 86.15 5
15 6 1 2 0.134 0.155 0.164 42.9 9
15 6 10 2 0.112 0.137 0.14 86.525 13
15 6 10 2 0.11 0.141 0.162 43.975 17
15 6 2 10 0.114 0.136 0.14 88.175 21
15 2 6 10 0.137 0.138 0.143 44.85 25
15 6 10 8 0.137 0.196 0.237 45.975 29
15 6 2 10 0.106 0.131 0.137 84.55 33
15 6 2 1 0.13 0.148 0.163 43.275 37
6 15 2 10 0.081 0.106 0.109 84.3 41
6 15 10 2 0.074 0.104 0.12 44.425 45
6 15 2 10 0.074 0.111 0.111 85.175 49
6 15 10 11 0.048 0.108 0.141 43.925 53
6 15 2 10 0.073 0.102 0.111 82.675 57
6 15 10 11 0.097 0.125 0.162 43.2 61
6 15 10 2 0.096 0.125 0.126 84.325 65
6 15 2 10 0.115 0.136 0.143 43.7 69
10 6 15 11 0.024 0.025 0.095 83.0 73
6 11 1 8 0.112 0.128 0.14 40.625 77
10 15 11 9 0.1 0.124 0.178 62.7 81
10 15 6 9 0.025 0.027 0.089 85.6 85
10 15 6 11 0.025 0.033 0.086 44.9 89
10 15 6 9 0.029 0.032 0.096 87.9 93
10 15 6 9 0.162 0.17 0.19 46.125 97
10 6 15 9 0.35 0.4 1.0 44.275 101
10 15 6 9 0.023 0.023 0.088 80.375 105
10 6 2 7 0.053 0.128 0.137 41.65 109
12 6 2 8 0.0 0.0 0.0 47.6 113
15 8 1 10 0.006 0.091 0.127 84.675 117
15 8 1 10 0.014 0.096 0.127 43.025 121
1 8 2 4 0.18 0.183 0.23 49.525 125
15 8 1 10 0.004 0.08 0.127 86.6 129
15 8 1 2 0.01 0.09 0.142 45.15 133
15 8 1 10 0.006 0.074 0.128 85.85 137
15 8 1 10 0.079 0.105 0.136 44.025 141
15 8 1 10 0.004 0.095 0.127 85.4 145
15 8 1 9 0.014 0.096 0.138 43.675 149
2 1 15 6 0.056 0.057 0.098 84.675 153
1 6 2 8 0.041 0.063 0.096 42.3 157
2 1 15 6 0.056 0.056 0.098 85.45 161
2 1 6 15 0.039 0.078 0.082 43.25 165
2 15 1 6 0.051 0.054 0.105 85.7 169
1 15 3 6 0.004 0.061 0.081 41.7 173
15 10 8 6 0.038 0.127 0.137 66.2 177
2 1 15 6 0.06 0.06 0.11 85.55 181
1 2 15 6 0.008 0.013 0.039 42.3 185
8 6 4 1 0.0 0.001 0.001 46.3 189
1 15 8 4 0.089 0.091 0.123 67.05 193
9 10 12 7 0.233 0.347 0.438 41.425 197
1 8 15 2 0.083 0.086 0.117 67.675 201
1 8 15 4 0.088 0.095 0.124 66.55 205
1 15 8 4 0.093 0.116 0.131 68.325 209
6 12 1 4 0.0 0.0 0.0 46.525 213
6 7 3 11 0.57 0.98 1.09 42.15 217
6 7 3 11 0.006 0.062 0.069 81.425 221
6 7 3 11 0.059 0.099 0.11 42.7 225
6 7 3 11 0.013 0.055 0.067 81.6 229
6 7 3 11 0.057 0.079 0.082 44.525 233
6 7 3 11 0.009 0.065 0.072 81.75 237
6 3 11 7 0.071 0.108 0.146 43.3 241
6 9 10 12 0.001 0.001 0.001 48.725 245
10 9 11 12 0.082 0.088 0.14 83.475 249
10 9 11 12 0.09 0.1 0.174 42.3 253
9 10 12 7 0.236 0.302 0.53 42.425 257
10 9 11 12 0.07 0.08 0.134 84.275 261
10 11 15 12 0.052 0.123 0.146 41.95 265
10 9 11 12 0.114 0.148 0.221 42.55 269
10 9 15 4 0.114 0.239 0.672 44.725 273
10 9 11 15 0.08 0.158 0.159 54.175 277
10 9 11 12 0.81 0.84 1.28 77.675 281
10 9 11 12 0.068 0.076 0.133 83.9 285
10 9 11 15 0.076 0.08 0.13 44.375 289
10 11 9 12 0.121 0.216 0.265 48.45 293
3 4 7 6 0.01 0.065 0.127 84.3 297
7 3 4 8 0.035 0.073 0.083 43.45 301
3 4 7 6 0.009 0.064 0.128 87.925 305
3 4 7 6 0.007 0.061 0.11 48.1 309
3 4 2 1 0.008 0.246 0.263 44.725 313
3 4 7 6 0.012 0.061 0.129 86.625 317
4 7 3 6 0.043 0.078 0.108 44.2 321
2 4 3 7 0.081 0.208 0.337 55.75 325
3 4 7 6 0.005 0.062 0.128 88.525 329
3 4 7 6 0.005 0.069 0.137 49.325 333
9 15 10 8 0.001 0.026 0.071 82.625 337
10 9 8 11 0.026 0.028 0.128 43.175 341
9 12 4 1 0.299 0.916 1.201 41.775 345
15 9 10 8 0.0 0.025 0.07 83.475 349
9 15 10 8 0.011 0.041 0.073 45.825 353
9 15 10 8 0.004 0.026 0.08 82.125 357
9 15 10 8 0.02 0.26 1.01 43.9 361
9 15 10 8 0.02 0.29 0.77 83.9 365
10 9 8 11 0.01 0.54 1.01 42.375 369
1 4 2 15 0.103 0.111 0.154 88.875 373
