LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
15 13 9 1 0.0 0.0 0.0 45.2 1
15 6 2 10 0.114 0.136 0.139 86.15 5
15 6 1 2 0.134 0.155 0.164 42.9 9
15 6 10 2 0.112 0.137 0.14 86.525 13
15 6 10 2 0.11 0.141 0.162 43.975 17
15 6 2 10 0.114 0.136 0.14 88.175 21
15 2 6 10 0.137 0.138 0.143 44.85 25
15 6 10 8 0.137 0.196 0.237 45.975 29
15 6 2 10 0.106 0.131 0.137 84.55 33
15 6 2 1 0.13 0.148 0.163 43.275 37
6 15 2 10 0.081 0.106 0.109 84.3 41
6 15 10 2 0.074 0.104 0.12 44.425 45
6 15 2 10 0.074 0.111 0.111 85.175 49
6 15 10 11 0.048 0.108 0.141 43.925 53
6 15 2 10 0.073 0.102 0.111 82.675 57
6 15 10 11 0.097 0.125 0.162 43.2 61
6 15 10 2 0.096 0.125 0.126 84.325 65
6 15 2 10 0.115 0.136 0.143 43.7 69
10 6 15 11 0.024 0.025 0.095 83.0 73
6 14 11 1 0.071 0.112 0.128 40.625 77
10 15 11 14 0.1 0.124 0.126 62.875 81
10 15 6 9 0.025 0.027 0.089 85.6 85
10 15 6 11 0.025 0.033 0.086 44.9 89
10 15 6 9 0.029 0.032 0.096 87.9 93
10 15 6 9 0.162 0.17 0.19 46.125 97
10 6 15 9 0.35 0.4 1.0 44.275 101
10 15 6 9 0.023 0.023 0.088 80.375 105
10 6 14 2 0.053 0.117 0.128 41.4 109
12 6 2 8 0.0 0.0 0.0 47.6 113
15 8 1 10 0.006 0.091 0.127 84.675 117
15 8 1 10 0.014 0.096 0.127 43.025 121
1 8 2 4 0.18 0.183 0.23 49.525 125
15 8 1 10 0.004 0.08 0.127 86.6 129
15 8 1 2 0.01 0.09 0.142 45.15 133
15 8 1 10 0.006 0.074 0.128 85.85 137
15 8 1 10 0.079 0.105 0.136 44.025 141
15 8 1 10 0.004 0.095 0.127 85.4 145
15 8 1 9 0.014 0.096 0.138 43.675 149
2 1 15 13 0.056 0.057 0.096 86.5 153
1 6 2 13 0.041 0.063 0.063 42.0 157
2 1 15 13 0.056 0.056 0.096 87.525 161
2 1 6 15 0.039 0.078 0.082 43.25 165
2 15 1 13 0.051 0.054 0.095 86.825 169
1 15 3 13 0.004 0.061 0.076 41.65 173
15 10 8 6 0.038 0.127 0.137 66.2 177
2 1 15 13 0.06 0.06 0.096 86.85 181
1 2 15 6 0.008 0.013 0.039 42.3 185
8 6 4 1 0.0 0.001 0.001 46.3 189
1 15 8 4 0.089 0.091 0.123 67.05 193
9 10 12 7 0.233 0.347 0.438 41.425 197
1 8 15 2 0.083 0.086 0.117 67.675 201
1 8 15 4 0.088 0.095 0.124 66.55 205
1 15 8 4 0.093 0.116 0.131 68.325 209
6 12 1 4 0.0 0.0 0.0 46.525 213
6 7 3 11 0.57 0.98 1.09 42.15 217
6 7 3 11 0.006 0.062 0.069 81.425 221
6 7 3 11 0.059 0.099 0.11 42.7 225
6 7 3 11 0.013 0.055 0.067 81.6 229
6 7 3 11 0.057 0.079 0.082 44.525 233
6 7 3 11 0.009 0.065 0.072 81.75 237
6 3 11 7 0.071 0.108 0.146 43.3 241
6 13 9 10 0.0 0.001 0.001 47.6 245
10 14 9 11 0.001 0.082 0.088 84.775 249
10 14 9 11 0.009 0.09 0.1 42.0 253
9 14 10 12 0.08 0.236 0.302 42.125 257
14 10 9 11 0.006 0.076 0.086 87.65 261
14 10 11 15 0.011 0.063 0.134 42.125 265
14 10 9 11 0.007 0.121 0.155 44.15 269
14 10 9 15 0.006 0.12 0.245 46.475 273
10 14 9 11 0.015 0.08 0.158 55.775 277
14 10 9 11 0.11 0.92 0.95 81.375 281
14 10 9 11 0.006 0.074 0.082 87.6 285
10 14 9 11 0.028 0.076 0.08 44.45 289
10 14 11 9 0.03 0.121 0.216 48.425 293
3 4 7 13 0.01 0.065 0.067 87.775 297
7 13 3 4 0.016 0.035 0.073 43.15 301
3 4 7 13 0.009 0.064 0.072 90.925 305
3 4 7 13 0.007 0.061 0.065 47.625 309
3 4 13 2 0.008 0.101 0.246 43.825 313
3 4 7 13 0.012 0.061 0.064 89.3 317
4 7 13 3 0.043 0.057 0.078 43.375 321
2 4 3 13 0.081 0.208 0.259 56.675 325
3 4 7 13 0.005 0.062 0.064 91.1 329
3 4 13 7 0.005 0.064 0.069 48.725 333
9 15 10 8 0.001 0.026 0.071 82.625 337
10 9 8 14 0.026 0.028 0.06 43.1 341
9 12 4 1 0.299 0.916 1.201 41.775 345
15 9 10 8 0.0 0.025 0.07 83.475 349
9 15 10 8 0.011 0.041 0.073 45.825 353
9 15 10 8 0.004 0.026 0.08 82.125 357
9 15 10 8 0.02 0.26 1.01 43.9 361
9 15 10 8 0.02 0.29 0.77 83.9 365
10 9 14 8 0.01 0.35 0.54 42.55 369
1 13 4 2 0.049 0.103 0.111 90.425 373
1 13 2 4 0.02 0.085 0.096 42.05 377
1 13 4 2 0.037 0.09 0.095 87.75 381
1 13 4 2 0.032 0.106 0.14 41.925 385
1 8 4 13 0.182 0.207 0.214 50.175 389
1 13 2 4 0.054 0.115 0.115 89.475 393
1 13 4 2 0.062 0.114 0.118 45.675 397
1 13 2 4 0.098 0.182 0.194 51.375 401
1 8 4 13 0.178 0.208 0.221 49.05 405
1 13 2 4 0.04 0.093 0.099 90.4 409
1 13 4 15 0.033 0.084 0.124 43.2 413
